-0.5 -8.78294927322312     3.8922325629084504
-0.498998998998999 -15.463484922908526     -2.6374128982346505
-0.497997997997998 -12.975771066704857     0.0
-0.496996996996997 -13.124257858220714     0.0
-0.495995995995996 -13.271511414467872     0.0
-0.494994994994995 -13.41751087290283     0.0
-0.493993993993994 -13.562235496136855     0.0
-0.492992992992993 -13.705664674865135     0.0
-0.491991991991992 -13.84777793077974     0.0
-0.49099099099099097 -13.988554919466425     0.0
-0.48998998998999 -14.127975433284467     0.0
-0.488988988988989 -14.266019404229281     0.0
-0.487987987987988 -14.40266690677746     0.0
-0.486986986986987 -14.537898160713732     0.0
-0.48598598598598597 -14.671693533939534     0.0
-0.484984984984985 -17.425790593971442     -2.6217570487087576
-0.48398398398398396 -14.93489886716795     0.0
-0.482982982982983 -15.064270328567881     0.0
-0.481981981981982 -15.19212891753372     0.0
-0.48098098098098097 -15.318455784005904     0.0
-0.47997997997998 -15.443232242483754     0.0
-0.47897897897897895 -15.485603764167525     0.0808360105265832
-0.477977977977978 -15.688060032238292     0.0
-0.476976976976977 -15.808074839217367     0.0
-0.47597597597597596 -15.926466194834907     0.0
-0.474974974974975 -16.04321627597723     0.0
-0.47397397397397395 -16.158307439770667     0.0
-0.47297297297297297 -16.27172222611538     0.0
-0.471971971971972 -16.383443360195457     0.0
-0.47097097097097096 -16.493453754964975     0.0
-0.46996996996997 -17.48379814584011     -0.8820616322305525
-0.46896896896896895 -16.708274931983212     0.0
-0.46796796796796797 -16.813052501019953     0.0
-0.466966966966967 -16.916052909120076     0.0
-0.46596596596596596 -17.01726004451045     0.0
-0.464964964964965 -17.116657997578805     0.0
-0.46396396396396394 -17.214231063181472     0.0
-0.46296296296296297 -17.309963742924324     0.0
-0.461961961961962 -17.403840747416595     0.0
-0.46096096096096095 -17.495846998497235     0.0
-0.45995995995996 -17.585967631433505     0.0
-0.45895895895895894 -17.674187997091465     0.0
-0.45795795795795796 -17.760493664078112     0.0
-0.456956956956957 -17.844870420854797     0.0
